AELNORTU		OUTLEARN	st	to surpass in learning [v -LEARNED or -LEARNT, -LEARNING, -LEARNS]
AAENORTU		AERONAUT	s	one who operates an airship [n -S]
ADEELNOR		OLEANDER	s	a flowering shrub [n -S]
ADEELNOR		RELOANED		RELOAN, LOAN, to lend (to give the temporary use of) [v]
AEELNORU		ALEURONE	s	protein matter found in the seeds of certain plants [n -S] : ALEURONIC ~adj
DEEILORT		DOLERITE	s	a variety of basalt [n -S]
DEEILORT		LOITERED		LOITER, to stand idly about [v]
ADENOORT		RATOONED		RATOON, to sprout from a root planted the previous year [v]
AAEELORT		AREOLATE	d	AREOLA, a small space in a network of leaf veins [adj]
AEEILOTT	p	ETIOLATE	ds	to whiten (to make white (of the color of pure snow)) [v -LATED, -LATING, -LATES]
ADILNORT		TRINODAL		having three nodes [adj]
ADINORTU		DURATION	s	continuance in time [n -S]
AADINORT		ANTIDORA		holy breads [n]
AAILNORT		NOTARIAL		pertaining to a notary (a public officer who certifies documents) [adj]
AAILNORT		RATIONAL	es	a number that can be expressed as a quotient of integers [n -S]
AEEGILOU		EULOGIAE		EULOGIA, holy bread [n]
ADELNORU		EUROLAND		EUROLAND n pl. -S the eurozone
ADELNORU		UNLOADER	s	one that unloads (to remove the load or cargo from) [n -S]
ADEEGNOR		RENEGADO	s	a traitor (one who betrays another) [n -DOS or -DOES]
ADEEGORT		DEROGATE	ds	to detract (to take away) [v -GATED, -GATING, -GATES]
AEEGLNOT		ELONGATE	ds	to lengthen (to make or become longer) [v -GATED, -GATING, -GATES]
DEEGIORT		GOITERED		GOITER n pl. -S an enlargement of the thyroid gland GOITERED adj GOITROUS adj
ADINOORT		TANDOORI	s	food cooked in a tandoor [n -S]
ADENNORT		NONRATED		not rated [adj]
ADENORTT		ATTORNED		ATTORN, to acknowledge a new owner as one's landlord [v]
AELNORTT		TOLERANT		inclined to tolerate [adj]
AENNORTU		UNORNATE		ORNATE, elaborately or excessively ornamented [adj]
ADEELORU		AUREOLED		AUREOLE, to surround with a halo [v]
AGILNORT		TRIGONAL		shaped like a triangle [adj]
DEELNORT		REDOLENT		fragrant (having a pleasant odor) [adj]
DEELNORT		RONDELET	s	a rondeau of 5 or 7 lines [n -S]
DEENORTU		DEUTERON	s	an atomic particle [n -S]
AAEELORU		AUREOLAE		AUREOLA, a halo [n]
DEEIINOS		DEIONISE		DEIONISE v -ISED, -ISING, -ISES to deionize
ADEGILOU		DIALOGUE	drs	to carry on a conversation [v -LOGUED, -LOGUING, -LOGUES]
AGIINORT		RIGATONI	s	a tubular pasta [n -S]
ADEGORTU		OUTRAGED		OUTRAGE, to arouse anger or resentment in [v]
ADEGORTU		RAGOUTED		RAGOUT, to make into a highly seasoned stew [v]
AEGLORTU		OUTGLARE	ds	to surpass in glaring (to shine with a harshly brilliant light) [v -GLARED, -GLARING, -GLARES]
DEGINORU		GUERIDON	s	a small stand or table [n -S]
ADELNRTU		DENTURAL		DENTURE, a set of teeth [adj]
ADEENOTT		DETONATE	ds	to cause to explode [v -NATED, -NATING, -NATES]
AEELORTT		TOLERATE	ds	to allow without active opposition [v -ATED, -ATING, -ATES]
AEENOTTU		OUTEATEN		OUTEAT, to surpass in eating [v]
EEILORRT		LOITERER	s	one that loiters (to stand idly about) [n -S]
ADIORSTU		AUDITORS		AUDITOR, one that audits (to examine with intent to verify) [n]
AENOORRT		RATOONER	s	a plant that ratoons [n -S]
AAEEGILN		ALIENAGE	s	the state of being foreign (situated outside a place or country) [n -S]
AEEGIIST		GAIETIES		GAIETY, festive activity [n]
ADIILNOT		DILATION	s	the act of dilating (to make wider or larger) [n -S]
ADIINOTU		AUDITION	s	to give a trial performance [v -ED, -ING, -S]
AGINOORT		ROGATION	s	the proposal of a law in ancient Rome [n -S]
DEENOORT		ENROOTED		ENROOT, to implant (to set securely) [v]
DEEGILNO		ELOIGNED		ELOIGN, to remove to a distant place [v]
DELNORTU		ROUNDLET	s	a small circle [n -S]
DEEILNRU		UNDERLIE	s	to lie under [v -LAY, -LAIN, -LYING, -LIES]
AINORRTU		URINATOR	s	one that urinates (to discharge urine) [n -S]
DEGINOOR		RODEOING		RODEO, to participate in a rodeo (an exhibition of cowboy skills) [v]
AEIINTTU		UINTAITE	s	a variety of asphalt [n -S]
ADILNOOR		DOORNAIL	s	a large-headed nail [n -S]
ADILOORT		IDOLATOR	s	idolater (one that worships idols) [n -S]
ADILOORT		TOROIDAL		TOROID, a type of geometric surface [adj]
AAEELRTU		LAUREATE	ds	to laurel (to crown with a wreath of evergreen leaves) [v -ATED, -ATING, -ATES]
DEEIILNT		TIDELINE		TIDELINE n pl. -S a line on a shore marking the highest point of the tide
AIINORTT		ANTIRIOT		designed to prevent or end riots [adj]
ADELNNOT		LENTANDO		becoming slower -- used as a musical direction [adv]
ADENNOTU		UNATONED		ATONE, to make amends or reparation [adj]
